mod_num,time_to_create,n_yes_train,n_no_train,n_yes_test,n_no_test,ntrees,max_depth,min_rows,mtries,min_split_improvement,sample_rate,nbins,binomial_double_trees,seed,balance_classes,col_sample_rate_per_tree,gini,auc,threshold_max_f1,sensitivity_max_f1,specificity_max_f1,precision_max_f1,accuracy_max_f1,threshold_98_specificity,sensitivity_98_specificity,specificity_98_specificity,precision_98_specificity,accuracy_98_specificity
71,2.4020000000000437,317,340,108.99999999999999,100,50,3,1,7,0.001,0.632,20,TRUE,16,TRUE,0.8,0.5992349540972457,0.7996174770486228,0.401120379143956,0.7981651376146789,0.69,0.7372881355932204,0.7464114832535885,0.7479867956381014,0.1559633027522936,0.99,0.9444444444444444,0.5550239234449761
72,4.378000000000156,317,340,108.99999999999999,100,100,3,1,7,0.001,0.632,20,TRUE,16,TRUE,0.8,0.6134563073784427,0.80672815368922135,0.368352900524809,0.8440366972477065,0.64,0.71875,0.7464114832535885,0.7308771828717292,0.1651376146788991,0.99,0.9473684210526315,0.5598086124401914
73,3.3850000000002183,317,340,108.99999999999999,100,50,7,1,7,0.001,0.632,20,TRUE,16,TRUE,0.8,0.7958432505950357,0.8979216252975178,0.428592934463206,0.8807339449541285,0.84,0.8571428571428571,0.861244019138756,0.7813559958579311,0.3853211009174312,0.99,0.9767441860465116,0.6746411483253588
74,5.410000000000309,317,340,108.99999999999999,100,100,7,1,7,0.001,0.632,20,TRUE,16,TRUE,0.8,0.8150119007140428,0.9075059503570214,0.39222159271028,0.9174311926605505,0.81,0.8403361344537815,0.8660287081339713,0.7214488173004026,0.4954128440366973,0.99,0.9818181818181818,0.7320574162679426
75,3.3769999999999527,317,340,108.99999999999999,100,50,10,1,7,0.001,0.632,20,TRUE,16,TRUE,0.8,0.8608721523291398,0.9304360761645699,0.430091968839934,0.908256880733945,0.84,0.8608695652173913,0.8755980861244019,0.714598898769214,0.5779816513761468,0.99,0.984375,0.7751196172248804
76,5.403999999999996,317,340,108.99999999999999,100,100,10,1,7,0.001,0.632,20,TRUE,16,TRUE,0.8,0.8766065963957839,0.9383032981978919,0.439722205319397,0.908256880733945,0.86,0.8761061946902655,0.8851674641148325,0.7174616001717685,0.5504587155963303,0.99,0.9836065573770492,0.7607655502392344
77,3.3649999999997817,317,340,108.99999999999999,100,50,15,1,7,0.001,0.632,20,TRUE,16,TRUE,0.8,0.8749404964297856,0.9374702482148928,0.370785557829049,0.9541284403669725,0.79,0.832,0.8755980861244019,0.7199497451395187,0.6055045871559633,0.99,0.9850746268656716,0.7894736842105263
78,6.572999999999865,317,340,108.99999999999999,100,100,15,1,7,0.001,0.632,20,TRUE,16,TRUE,0.8,0.8922050323019382,0.9461025161509691,0.438345457824806,0.9174311926605505,0.86,0.8771929824561403,0.8899521531100478,0.754132295238978,0.5229357798165137,0.99,0.9827586206896551,0.7464114832535885
79,3.354000000000269,317,340,108.99999999999999,100,50,20,1,7,0.001,0.632,20,TRUE,16,TRUE,0.8,0.8763600816048962,0.9381800408024481,0.379186602870813,0.9541284403669725,0.8,0.8387096774193549,0.8803827751196173,0.7281189555125726,0.5779816513761468,0.99,0.984375,0.7751196172248804
80,5.369000000000142,317,340,108.99999999999999,100,100,20,1,7,0.001,0.632,20,TRUE,16,TRUE,0.8,0.8929105746344781,0.946455287317239,0.438345457824806,0.9174311926605505,0.86,0.8771929824561403,0.8899521531100478,0.7565169501896952,0.48623853211009177,0.99,0.9814814814814815,0.7272727272727273
